"No.","Time","Source","Destination","Protocol","Length","Info"
"3270","47605.409860","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"3271","47605.781145","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3272","47605.796964","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3275","47621.575861","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3276","47621.944528","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3277","47625.531686","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"3278","47625.537027","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"3279","47625.908622","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3280","47625.925584","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3283","47641.577397","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3284","47641.951102","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3287","47661.576977","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3288","47661.942784","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3289","47681.577385","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3290","47681.950375","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3294","47701.578259","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3295","47701.976922","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3296","47721.578713","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3297","47721.950413","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3298","47725.262851","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
